id_билета;id_сеанса;id_кресла;покупатель;цена;статус
1;1;100;Иванов Иван;800;Продан
2;1;101;Петрова Анна;800;Продан
3;1;102;Сидоров Алексей;800;Продан
4;2;103;Кузнецова Елена;1000;Продан
5;2;104;Морозов Андрей;1000;Продан
6;3;105;Волкова Наталья;1200;Продан
7;3;106;Соколов Дмитрий;1200;Продан
8;4;107;Крылова Ольга;600;Продан
9;4;108;Новиков Павел;600;Продан
10;5;109;Тимофеева Ирина;700;Продан
11;5;110;Белов Сергей;700;Продан
12;6;111;Комаров Андрей;800;Продан
13;6;112;Лебедева Мария;800;Продан
14;7;1;Фролов Денис;500;Продан
15;7;2;Егорова Анна;500;Продан
16;8;6;Воробьёв Игорь;600;Продан
17;8;7;Григорьева Оксана;600;Продан
18;9;11;Михайлов Владимир;700;Продан
19;9;12;Андреева Татьяна;700;Продан
20;10;13;Алексеев Николай;900;Продан
